metric,analysis_name,population,configuration_1,configuration_1_label,configuration_2,configuration_2_label,events,configuration_1_rate,configuration_2_rate,rate_difference_1_minus_2,difference_ci_95_lower,difference_ci_95_upper,configuration_1_only_passes,configuration_2_only_passes,discordant_pairs,exact_mcnemar_p_value,higher_is_better,holm_adjusted_p_value,significant_after_holm_0_05
prediction_contract_pass,Prediction-contract compliance,All events,A3_constrained_full,A3 Full Evidence,A4_verified_full,A4 Verified,300,0.42,1.0,-0.5800000000000001,-0.6333333333333333,-0.5233333333333333,0,174,174,8.352389719038111e-53,True,5.846672803326678e-52,True
evidence_contract_pass,Evidence-contract compliance,All events,A0_deterministic_template,A0 Template,A1_unconstrained_full,A1 Unconstrained,300,1.0,0.0,1.0,1.0,1.0,300,0,300,9.818186930595453e-91,True,9.818186930595453e-90,True
evidence_contract_pass,Evidence-contract compliance,All events,A0_deterministic_template,A0 Template,A2_constrained_no_shap,A2 No SHAP,300,1.0,0.9966666666666667,0.0033333333333332993,0.0,0.01,1,0,1,1.0,True,1.0,False
evidence_contract_pass,Evidence-contract compliance,All events,A0_deterministic_template,A0 Template,A3_constrained_full,A3 Full Evidence,300,1.0,0.19333333333333333,0.8066666666666666,0.76,0.85,242,0,242,2.8298997121333476e-73,True,1.9809297984933433e-72,True
evidence_contract_pass,Evidence-contract compliance,All events,A0_deterministic_template,A0 Template,A4_verified_full,A4 Verified,300,1.0,1.0,0.0,0.0,0.0,0,0,0,1.0,True,1.0,False
evidence_contract_pass,Evidence-contract compliance,All events,A1_unconstrained_full,A1 Unconstrained,A2_constrained_no_shap,A2 No SHAP,300,0.0,0.9966666666666667,-0.9966666666666667,-1.0,-0.99,0,299,299,1.9636373861190906e-90,True,1.5709099088952725e-89,True
evidence_contract_pass,Evidence-contract compliance,All events,A1_unconstrained_full,A1 Unconstrained,A3_constrained_full,A3 Full Evidence,300,0.0,0.19333333333333333,-0.19333333333333333,-0.23666666666666666,-0.15,0,58,58,6.938893903907228e-18,True,2.7755575615628914e-17,True
evidence_contract_pass,Evidence-contract compliance,All events,A1_unconstrained_full,A1 Unconstrained,A4_verified_full,A4 Verified,300,0.0,1.0,-1.0,-1.0,-1.0,0,300,300,9.818186930595453e-91,True,9.818186930595453e-90,True
evidence_contract_pass,Evidence-contract compliance,All events,A2_constrained_no_shap,A2 No SHAP,A3_constrained_full,A3 Full Evidence,300,0.9966666666666667,0.19333333333333333,0.8033333333333333,0.7566666666666667,0.8466666666666667,241,0,241,5.659799424266695e-73,True,2.8298997121333476e-72,True
evidence_contract_pass,Evidence-contract compliance,All events,A2_constrained_no_shap,A2 No SHAP,A4_verified_full,A4 Verified,300,0.9966666666666667,1.0,-0.0033333333333332993,-0.01,0.0,0,1,1,1.0,True,1.0,False
evidence_contract_pass,Evidence-contract compliance,All events,A3_constrained_full,A3 Full Evidence,A4_verified_full,A4 Verified,300,0.19333333333333333,1.0,-0.8066666666666666,-0.85,-0.76,0,242,242,2.8298997121333476e-73,True,1.9809297984933433e-72,True
automatic_unsupported_claim_flag,Automatic unsupported-claim indicator,All events,A0_deterministic_template,A0 Template,A1_unconstrained_full,A1 Unconstrained,300,0.0,0.91,-0.91,-0.94,-0.8766666666666667,0,273,273,1.3177747429038154e-82,False,1.3177747429038154e-81,True
automatic_unsupported_claim_flag,Automatic unsupported-claim indicator,All events,A0_deterministic_template,A0 Template,A2_constrained_no_shap,A2 No SHAP,300,0.0,0.3466666666666667,-0.3466666666666667,-0.4,-0.29333333333333333,0,104,104,9.860761315262648e-32,False,5.9164567891575885e-31,True
automatic_unsupported_claim_flag,Automatic unsupported-claim indicator,All events,A0_deterministic_template,A0 Template,A3_constrained_full,A3 Full Evidence,300,0.0,0.02,-0.02,-0.03666666666666667,-0.006666666666666667,0,6,6,0.03125,False,0.09375,False
automatic_unsupported_claim_flag,Automatic unsupported-claim indicator,All events,A0_deterministic_template,A0 Template,A4_verified_full,A4 Verified,300,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,False,1.0,False
automatic_unsupported_claim_flag,Automatic unsupported-claim indicator,All events,A1_unconstrained_full,A1 Unconstrained,A2_constrained_no_shap,A2 No SHAP,300,0.91,0.3466666666666667,0.5633333333333334,0.49666666666666665,0.6266666666666667,182,13,195,2.6952200848353245e-39,False,1.8866540593847273e-38,True
automatic_unsupported_claim_flag,Automatic unsupported-claim indicator,All events,A1_unconstrained_full,A1 Unconstrained,A3_constrained_full,A3 Full Evidence,300,0.91,0.02,0.89,0.85,0.9266666666666666,270,3,273,4.4689668500602234e-76,False,3.5751734800481787e-75,True
automatic_unsupported_claim_flag,Automatic unsupported-claim indicator,All events,A1_unconstrained_full,A1 Unconstrained,A4_verified_full,A4 Verified,300,0.91,0.0,0.91,0.8766666666666667,0.94,273,0,273,1.3177747429038154e-82,False,1.3177747429038154e-81,True
automatic_unsupported_claim_flag,Automatic unsupported-claim indicator,All events,A2_constrained_no_shap,A2 No SHAP,A3_constrained_full,A3 Full Evidence,300,0.3466666666666667,0.02,0.32666666666666666,0.27,0.38333333333333336,101,3,104,1.8495336960972385e-26,False,7.398134784388954e-26,True
automatic_unsupported_claim_flag,Automatic unsupported-claim indicator,All events,A2_constrained_no_shap,A2 No SHAP,A4_verified_full,A4 Verified,300,0.3466666666666667,0.0,0.3466666666666667,0.29333333333333333,0.4,104,0,104,9.860761315262648e-32,False,5.9164567891575885e-31,True
automatic_unsupported_claim_flag,Automatic unsupported-claim indicator,All events,A3_constrained_full,A3 Full Evidence,A4_verified_full,A4 Verified,300,0.02,0.0,0.02,0.006666666666666667,0.03666666666666667,6,0,6,0.03125,False,0.09375,False
misclassification_honesty_pass,Misclassification-reporting honesty,Misclassified events,A0_deterministic_template,A0 Template,A1_unconstrained_full,A1 Unconstrained,150,1.0,1.0,0.0,0.0,0.0,0,0,0,1.0,True,1.0,False
misclassification_honesty_pass,Misclassification-reporting honesty,Misclassified events,A0_deterministic_template,A0 Template,A2_constrained_no_shap,A2 No SHAP,150,1.0,1.0,0.0,0.0,0.0,0,0,0,1.0,True,1.0,False
misclassification_honesty_pass,Misclassification-reporting honesty,Misclassified events,A0_deterministic_template,A0 Template,A3_constrained_full,A3 Full Evidence,150,1.0,0.9933333333333333,0.00666666666666671,0.0,0.02,1,0,1,1.0,True,1.0,False
misclassification_honesty_pass,Misclassification-reporting honesty,Misclassified events,A0_deterministic_template,A0 Template,A4_verified_full,A4 Verified,150,1.0,1.0,0.0,0.0,0.0,0,0,0,1.0,True,1.0,False
misclassification_honesty_pass,Misclassification-reporting honesty,Misclassified events,A1_unconstrained_full,A1 Unconstrained,A2_constrained_no_shap,A2 No SHAP,150,1.0,1.0,0.0,0.0,0.0,0,0,0,1.0,True,1.0,False
misclassification_honesty_pass,Misclassification-reporting honesty,Misclassified events,A1_unconstrained_full,A1 Unconstrained,A3_constrained_full,A3 Full Evidence,150,1.0,0.9933333333333333,0.00666666666666671,0.0,0.02,1,0,1,1.0,True,1.0,False
misclassification_honesty_pass,Misclassification-reporting honesty,Misclassified events,A1_unconstrained_full,A1 Unconstrained,A4_verified_full,A4 Verified,150,1.0,1.0,0.0,0.0,0.0,0,0,0,1.0,True,1.0,False
misclassification_honesty_pass,Misclassification-reporting honesty,Misclassified events,A2_constrained_no_shap,A2 No SHAP,A3_constrained_full,A3 Full Evidence,150,1.0,0.9933333333333333,0.00666666666666671,0.0,0.02,1,0,1,1.0,True,1.0,False
misclassification_honesty_pass,Misclassification-reporting honesty,Misclassified events,A2_constrained_no_shap,A2 No SHAP,A4_verified_full,A4 Verified,150,1.0,1.0,0.0,0.0,0.0,0,0,0,1.0,True,1.0,False
misclassification_honesty_pass,Misclassification-reporting honesty,Misclassified events,A3_constrained_full,A3 Full Evidence,A4_verified_full,A4 Verified,150,0.9933333333333333,1.0,-0.00666666666666671,-0.02,0.0,0,1,1,1.0,True,1.0,False
reached_token_limit,Token-limit occurrence,All events,A0_deterministic_template,A0 Template,A1_unconstrained_full,A1 Unconstrained,300,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,False,1.0,False
reached_token_limit,Token-limit occurrence,All events,A0_deterministic_template,A0 Template,A2_constrained_no_shap,A2 No SHAP,300,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,False,1.0,False
reached_token_limit,Token-limit occurrence,All events,A0_deterministic_template,A0 Template,A3_constrained_full,A3 Full Evidence,300,0.0,0.07,-0.07,-0.1,-0.043333333333333335,0,21,21,9.5367431640625e-07,False,9.5367431640625e-06,True
reached_token_limit,Token-limit occurrence,All events,A0_deterministic_template,A0 Template,A4_verified_full,A4 Verified,300,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,False,1.0,False
reached_token_limit,Token-limit occurrence,All events,A1_unconstrained_full,A1 Unconstrained,A2_constrained_no_shap,A2 No SHAP,300,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,False,1.0,False
reached_token_limit,Token-limit occurrence,All events,A1_unconstrained_full,A1 Unconstrained,A3_constrained_full,A3 Full Evidence,300,0.0,0.07,-0.07,-0.1,-0.043333333333333335,0,21,21,9.5367431640625e-07,False,9.5367431640625e-06,True
reached_token_limit,Token-limit occurrence,All events,A1_unconstrained_full,A1 Unconstrained,A4_verified_full,A4 Verified,300,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,False,1.0,False
reached_token_limit,Token-limit occurrence,All events,A2_constrained_no_shap,A2 No SHAP,A3_constrained_full,A3 Full Evidence,300,0.0,0.07,-0.07,-0.1,-0.043333333333333335,0,21,21,9.5367431640625e-07,False,9.5367431640625e-06,True
reached_token_limit,Token-limit occurrence,All events,A2_constrained_no_shap,A2 No SHAP,A4_verified_full,A4 Verified,300,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,False,1.0,False
reached_token_limit,Token-limit occurrence,All events,A3_constrained_full,A3 Full Evidence,A4_verified_full,A4 Verified,300,0.07,0.0,0.07,0.043333333333333335,0.1,21,0,21,9.5367431640625e-07,False,9.5367431640625e-06,True
